sample_id,tic_id,label,n_sectors,flux_mean,flux_std,flux_median,flux_mad,flux_skew,flux_kurt,bls_period,bls_duration,bls_depth,bls_power,bls_snr,status,error
SAMPLE_003359,468889418,1,2,1.0002775,0.004196454,1.0,0.003876686,-0.060661543,-1.1132501,13.72336168084042,0.3,0.005312520902198483,0.005997361646462853,3.0317438350929096,success,
SAMPLE_006024,89643259,0,6,1.0069225,0.018430982,1.0,0.008927584,0.4848725,-1.1561855,14.310905452726363,0.3,0.014238065886292159,0.1527514189574358,5.509320996158451,success,
SAMPLE_002771,455153906,1,2,0.9999477,0.009058334,1.0,0.006031394,-0.097516336,0.2432487,2.9009504752376185,0.135,0.010204146715304561,0.08590280340465523,22.193085762918514,success,
SAMPLE_006390,170103435,0,1,1.000024,0.0011115134,1.0,0.0007326603,0.12936585,0.16643262,1.9797398699349675,0.05,0.00038552341466689677,2.913114743825911e-05,8.972272066100249,success,
SAMPLE_000926,123627908,1,1,0.9999879,0.001160618,1.0,0.0007554889,-0.07030487,0.28403664,5.903951975987994,0.08,0.0018559826404587784,0.00039958190115538337,5.0367903884725385,success,
SAMPLE_000938,453100296,1,16,0.99663955,0.024570206,1.0,0.014622241,-1.0552478,1.42239,14.013506753376689,0.3,0.010137695762717483,0.20539159144177388,5.590126894337856,success,
SAMPLE_006317,275384718,0,1,0.99994963,0.0014015305,1.0,0.0008261204,-0.8720518,3.6961665,14.796898449224612,0.3,0.005742969758910956,0.003562023778390703,3.6548699613593105,success,
SAMPLE_004172,64282927,1,8,1.0025059,0.009192721,1.0,0.0043708086,0.55461544,-0.8200033,13.969984992496247,0.3,0.006179477886277393,0.18145961989210274,4.654489326421928,success,
SAMPLE_004229,160223936,1,19,0.9961672,0.014943612,1.0,0.009184837,-0.5962097,-1.0243034,12.66433216608304,0.3,0.007209951382481632,0.33477308915910226,4.828040970944206,success,
SAMPLE_000207,52368076,1,10,1.0003476,0.006594506,1.0,0.0052223206,3.6402028,333.14563,14.717108554277138,0.3,0.005864704043973098,0.10388935301741281,6.54875308234791,success,
SAMPLE_001924,68523365,1,4,1.0015289,0.04320878,1.0,0.03609273,-0.022651311,-0.9171243,13.164832416208103,0.3,0.03314351105143234,2.480944915597879,3.141540834102001,success,
SAMPLE_003956,26054627,1,2,0.9988403,0.030849444,1.0,0.027820885,-0.05623805,-1.3268043,14.992746373186593,0.3,0.031823347402284125,0.21874869501547617,2.9749529056661896,success,
SAMPLE_006046,399144800,0,8,1.0001633,0.004151345,1.0,0.002627492,0.46617416,0.937953,13.629064532266133,0.3,0.004905388907782493,0.010371084185072672,9.712762519880568,success,
